Ring;Nimi;Aeg;Sektor1;Sektor2;Sektor3;Viga
1;Sham;76.489;24.324;25.895;26.27;False
2;Sham;70.69999999999999;23.397;23.81;23.493;False
3;Sham;141.276;36.525;38.551;66.2;True
4;Sham;162.202;65.227;53.784;43.191;True
5;Sham;76.506;24.128;25.665;26.713;False
6;Sham;79.434;26.082;26.527;26.825;False
7;Sham;73.678;24.687;25.28;23.711;False
8;Sham;75.17;23.397;25.657;26.116;False
9;Sham;157.91699999999997;63.775;47.699;46.443;True
10;Sham;77.631;26.851;26.74;24.04;False
1;Khas;76.155;23.243;26.646;26.266;False
2;Khas;76.926;26.573;25.089;25.264;False
3;Khas;74.38;23.025;25.137;26.218;False
4;Khas;74.387;25.106;24.61;24.671;False
5;Khas;72.821;26.168;23.361;23.292;False
6;Khas;75.503;24.671;24.972;25.86;False
7;Khas;74.398;24.039;25.368;24.991;False
8;Khas;73.33;23.71;25.333;24.287;False
9;Khas;170.68899999999996;67.276;63.107;40.306;True
10;Khas;75.213;23.477;25.691;26.045;False
1;Smur;77.237;24.232;26.156;26.849;False
2;Smur;78.986;26.994;26.32;25.672;False
3;Smur;77.83;26.281;24.657;26.892;False
4;Smur;73.24600000000001;26.219;23.369;23.658;False
5;Smur;76.741;26.109;25.729;24.903;False
6;Smur;77.953;25.41;26.388;26.155;False
7;Smur;71.47200000000001;23.251;24.021;24.2;False
8;Smur;202.214;48.273;73.867;80.074;True
9;Smur;192.437;90.481;46.456;55.5;True
10;Smur;72.017;23.017;23.635;25.365;False
1;Kisar;74.473;26.284;23.0;25.189;False
2;Kisar;70.8;23.462;24.284;23.054;False
3;Kisar;79.64099999999999;25.995;26.766;26.88;False
4;Kisar;76.403;25.768;25.021;25.614;False
5;Kisar;75.59;24.576;25.454;25.56;False
6;Kisar;73.953;24.024;24.204;25.725;False
7;Kisar;71.194;23.119;23.715;24.36;False
8;Kisar;74.125;24.893;25.517;23.715;False
9;Kisar;76.228;23.651;26.741;25.836;False
10;Kisar;76.82900000000001;24.397;26.911;25.521;False
1;Premel;72.562;23.723;24.268;24.571;False
2;Premel;77.876;26.991;26.199;24.686;False
3;Premel;73.297;24.829;24.122;24.346;False
4;Premel;74.513;23.52;26.102;24.891;False
5;Premel;73.857;26.47;23.811;23.576;False
6;Premel;75.235;24.436;25.182;25.617;False
7;Premel;79.042;26.982;25.533;26.527;False
8;Premel;73.339;25.136;25.017;23.186;False
9;Premel;77.07;26.693;23.91;26.467;False
10;Premel;74.977;23.972;26.282;24.723;False
